#deck:Machine Learning
#separator:Comma

Reinforcement Learning vs Supervised Learning,Learning with a critic vs learning with a teacher
Joint entropy,"\(\mathbb{H}(X, Y) := -\sum_{\mathcal{X}, \mathcal{Y}} p(X=x, Y=y)\log_2 p(X=x, Y=y)\)"

Conditional entropy,"\(\begin{aligned} \mathbb{H}(X|Y) &:=
\sum_{x \in \mathcal{X}, y \in \mathcal{Y}} p(x, y) \log p(x|y) \\
&= \mathbb{H}(X, Y) - \mathbb{H}(Y) \end{aligned} \)"

KL-divergence between \(p\) and \(q\),"\( D_{KL}(p\|\|q) := \sum_{\mathcal{X}} p(X=x) \log_2 \frac{p(X=x)}{q(X=x)} = \mathbb{H}(p, q) - \mathbb{H}(p) \)"
Forwards KL-divergence,Approximating \(p\) with \(q\) by minimizing \(D_{KL}(p\|q)\) w.r.t. \(q\)
Backwards KL-divergence,Approximating \(p\) with \(q\) by minimizing \(D_{KL}(q\|p)\) w.r.t. \(q\)
(Expected) Mutual Information a.k.a. Information Gain,"\(\begin{aligned} \mathbb{I}(X;Y) &:= D_{KL}(p(X, Y) \| p(X)p(Y)) \\ &= \mathbb{H}(X) - \mathbb{H}(X\|Y) \\ &= \mathbb{H}(X) + \mathbb{H}(Y) - \mathbb{H}(X, Y) \end{aligned}\)"
Conditional Mutual Information,"\(\begin{aligned} \mathbb{I}(X;Y|Z) &:= \mathbb{E}_{p(Z)} [ \mathbb{I}(X;Y) | Z] \\ &= \mathbb{I}(Y; X, Z) - \mathbb{I}(Y;Z) \end{aligned} \)"

Interpretation of entropy,"1. Measure of uncertainty/lack of predictability.
2. Expected number of bits needed to losslessly encode a signal."

Interpretation of KL-divergence,"1. Divergence measure quantifying how far \(q\) is from \(p\).
2. Extra number of expected bits necessary to encode signal from \(p\) with \(q\)."

Interpretation of Expected Mutual Information,"1. Information gain if we switch from a model with independent \(p(x)\) and \(p(y)\) to a model with joint \(p(x, y)\).
2. Reduction of uncertainty in \(X\) after observing \(Y\) and vice versa."

Difference between contextual bandit and RL,"In RL, an action in a given state influences the reward as well as the future state. In CB; the action only influences the reward; not the future state."

Gram Matrix,"\(A^TA\), always positive semidefinite"
Orthogonal matrix \(U\),\(U^T U = U U^T = I\)
Eigenvalue decomposition,"Of a real, symmetric matrix \(A\): \(A = U \Lambda U^T\), where \(U\) is orthonormal"

Singular value decomposision,"Of a real, \(m \times n\) matrix \(A\):
\(A = USV^T\), where
\(U: m \times m\) has orthonormal columns s.t. \(U^TU = I_m\)
\(V: n \times n\) has orthonormal columns and rows, s.t. \(V^TV = VV^T = I_n\)
\(S: m \times n\) has \(r = min(m, n)\) sigular values on the diagonal"

Rank-nullity theorem,"For \(A: m \times n\), \(dim(range(A)) + dim(nullspace(A)) = r + (n - r) = n\)"
LU factorization,"Any square matrix can be factorized into a product of a lower triangular and upper trinagular matrix."
Partial derivative of \(f: \mathbb{R}^n \rightarrow \mathbb{R}\) wrt \(x_i\),"\(\frac{\partial f}{\partial x_i} = \lim_{h \rightarrow 0} \frac{f(x + h e_i) - f(x)}{h}\)"

Gradient of \(f: \mathbb{R}^n \rightarrow \mathbb{R}\) wrt point \(x\),"\(\nabla f = \frac{\partial f}{\partial x} = (\frac{\partial f}{\partial x_i}, \dots, \frac{\partial f}{\partial x_n})^T\)
Note that \(\nabla f: \mathbb{R}^n \rightarrow \mathbb{R}^n\) is a vector field."

Jacobian matrix,"Of a function \(f: \mathbb{R}^n \rightarrow \mathbb{R}^m\) is an \(m \times n\) matrix of partial derivatives:
\(J_f(x) = \frac{\partial f}{\partial x^T} =  \begin{pmatrix}
\frac{\partial f_1}{\partial x_1} & \dots & \frac{\partial f_1}{\partial x_n}\\
\dots & \dots & \dots \\
\frac{\partial f_m}{\partial x_1} & \dots & \frac{\partial f_m}{\partial x_n}
\end{pmatrix}\)"

Hessian matrix,"Of a function \(f: \mathbb{R}^n \rightarrow \mathbb{R}\) is an \(n \times n\) matrix of partial derivatives:
\(H_f(x) = \frac{\partial^2 f}{\partial x^2} = \nabla^2 f = \begin{pmatrix}
\frac{\partial^2 f}{\partial x_1^2} & \dots & \frac{\partial^2 f}{\partial x_1 \partial x_n}\\
\dots & \dots & \dots \\
\frac{\partial f^2}{\partial x_n \partial x_1} & \dots & \frac{\partial^2 f}{\partial x_n^2}
\end{pmatrix}\)"

Necessary and sufficient conditions for local minimum at \(\theta^*\),"
Necessary: \(\nabla\mathcal{L}(\theta)|_{\theta^*} = 0\), \(H(\theta^*)\) positive semi-definite
Sufficient: \(\nabla\mathcal{L}(\theta)|_{\theta^*} = 0\), \(H(\theta^*)\) positive definite"

Convex set \(\mathcal{S}\),"\(\forall x, x' \in \mathcal{S}, \forall \lambda \in [0, 1]: \lambda x + (1 - \lambda)x' \in \mathcal{S}\)"

Definition of convex function \(f\),"1. The epigraph of the function, i.e. all point lying above it, defines a convex set.
2. Defined on a convex set and \(\forall x, y \in \mathcal{S}, \forall \lambda \in [0, 1]: f(\lambda x + (1 - \lambda) y) \leq \lambda f(x) + (1 - \lambda)f(y)\)"

A twice differentiable function \(f\) is convex iff its Hessian,"Is positive semi-definite for all \(x \in dom(f)\)"
Lipschitz constant \(L\) of a function \(f\),"Characterizes the degree of smoothness s.t. \(|f(x_1) - f(x_2)| \leq L |x_1 - x_2| \)"
Momentum in gradient descent,"Exponentially weighted moving average of past gradients \(m_t = g_{t-1} + m_{t-1} \beta\)"
First-order methods,"Rely on evaluation of the gradient of the function"
Second-order methods,"Rely on evaluation of the Hessian of the function"
Newton's method,"\(\theta_{t+1} = \theta_t - \rho_t H_t^{-1} g_t\) where \(H_t\) is assumed to be positive-definite."

Stochastic Gradient Descent,"Compute an unbiased estimate of the gradient of \(\mathcal{L}\) by only using one sample \(z_t \sim q\) in the loss function.
It is necessary that \(q\) is independent of the parameters to be optimized. This results in:
\(\theta_{t+1} = \theta_t - \rho_t \nabla \mathcal{L}(\theta_t, z_t)\)"

Learning rate warmup,"Quickly increasing the learning rate and then gradually decreasing it again."

ADAGRAD,"\(\theta_{t+1, d} = \theta_{t, d} - \rho_t \frac{1}{\sqrt{s_{t, d} + \epsilon}}g_{t, d}\)
where
\(s_{t, d} = \sum_{t'=1}^t g_{t', d}^2\)
This approach is considered to employ an 'adaptive learning rate' and can be viewed as preconditioned SGD."

ADAM,"Short for 'Adaptive moment estimation' computes an EMWA of the gradients and squared gradients:
\(m_t = \beta_1 m_{t-1} + (1 - \beta_1) g_t\)
\(s_t = \beta_2 s_{t-1} + (1 - \beta_2) g_t^2\)
\(\theta_t = \theta_{t-1} - \rho_t \frac{1}{\sqrt{s_t} + \epsilon} m_t\)"

EM algorithm,"Bound optimization algorithm assuming missing/hidden/latent variables in the joint distribution.
The goal of EM is to maximize the log likelihood:
\(LL(\theta) = \sum_{n=1}^N \log p(y_n|\theta) = \sum_{n=1}^N log \sum_{z_n} p(y_n, z_n|\theta)\)
It does so by estimating the hidden variables in the E-step and compute a parameter estimate (e.g. via MLE or MAP) in the M-step."

ELBO,"\(\mathbb{E}_{q_n} [\log p(y_n, z_n | \theta) + \mathbb{H}(q_n)\)
which can be derived by applying Jensen's inequaklity to the concave log function of the log-likelihood:
\(LL(\theta) = \sum_{n=1}^N \log p(y_n|\theta) = \sum_{n=1}^N log \sum_{z_n} q_n(z_n) \frac{p(y_n, z_n|\theta)}{q_n(z_n)}
\geq \sum_n \sum_{z_n} q_n(z_n) \log \frac{p(y_n, z_n | \theta)}{q_n(z_n)} \)"

Objective of RL,"Maximize cumulative reward \(\sum_{t=0}^H \gamma^t r(s_t, a_t)\)"

Typical methodological challenges of RL,"1. Sparse rewards
2. Credit assignment problem"

RL: Markov Decision Process,"\((\mathcal{S}, \mathcal{A}, T, d_0, r, \gamma)\) where
  - \(\mathcal{S}\) is the state space
  - \(\mathcal{A}\) is the action space
  - \(T\) defines a transition distribution \(p(s_{t+1}|s_t, a_t)\)
  - \(d_0\) defines a distribution over initial states
  - \(r: \mathcal{A} \times \mathcal{S} \rightarrow \mathbb{R}\) is a reward function
  - \(\gamma \in ]0,1[\) is a discounting constant"

RL: policy,"\(\pi: \mathcal{S} \times \mathcal{A} \rightarrow [0, 1]\)"

Online RL,The policy is updated after every observation.
Off-policy RL,A buffer of data with a fixed policy is gathered before the policy is updated.
Offline RL,The to-be-learned policy is never actually rolled out to interact with the environment in the training process.

RL: State value function,"\(V^\pi(s) = \mathbb{E}_{\tau \sim p_\pi(\tau|s)} [\sum_{t=T}^H\gamma^{t-T}r_t(a_t, s_t)]\)"

RL: State-action value function,"\(Q^\pi(a, s) = \mathbb{E}_{\tau \sim p_\pi(\tau|a, s)} [\sum_{t=T}^H \gamma^{t-T}r_t(a_t, s_t)]\)"

RL: Model-free,Not expliclity modeling the environment's transition probabilities \(T\).

RL: Model-based,Expliclity modeling the environment's transition probabilities \(T\).

RL: Policy gradient,Explicitly modeling the policy \(\pi\) and update its parameters \(\theta\) based on the estimated gradient of the rewards.

RL: Q-Learning,Explicitly modeling the Q-function \(Q\) and update its parameters \(\theta\) based on the estimated gradient of the rewards. The policy is implicitly defined as an arg-max over the Q-function.

RL: Actor-critic,Explicitly modeling the policy function and either of the Q-function or the V-function. Take turns optimizing.

Main methodological challenge of offline RL,Distributional shift

Discriminative classifier,Models \(p(y|x;\theta)\) directly

Generative classifier,"Models \(p(y|x;\theta)\) via Bayes rule:
\(\frac{p(x|y=c;\theta)p(y=c;\theta)}{\sum_{c'} p(x|y=c';\theta)p(y=c';\theta) } \)
Where \(p(x|y=c;\theta)\) is called the class-conditional density. The latter can
be used to generate data, hence the name."

Linear Discriminant Analysis,"Generative classifier where the class posterior is a linear function of \(x\):
\(\log p(y=c|x;\theta) = w^Tx + const \) where \(w\) is derived from \(\theta\)."

Difference between LDA and logistic regression,"While both have the same form for the class posterior
\(p(y=c|x;\theta)\), they optimize different objectives. LDA maximizes the joint likelihood \(p(x, y | \theta)\)
while logistic regression maximizes the conditional likelihood \(p(y|x,w)\)."

Naive Bayes assumption,"The features are conditionally independent on each other, conditioned on the label."
Ways to compute pesudo-inverse in OLS,"QR or SVD decomposition of pseudo-inverse"

Prior for ridge/l2 regression,"Normal"
Prior for lasso/l1 regression,"Laplace"
Geometric intuition for which l1 regularization is sparser than l2 regularization,"The corners of the diamond are more likely to intersect with an ellipsis than arbitrary points of a ball - especially in high dimensions."
Reason for which we don't use l0 regularization for sparse weights in linear regression,"The problem would become non-convex."

Methods of regularization for linear regression,"1. L1 (lasso)
2. L2 (ridge)
3. L1 & L2 (ElasticNet)
4. L1 for feature selection, no regularization for actual weights ('debiasing')
5. Group LASSO (for highly correlated features or one-hot encoded levels of a categorical)"

Robust linear regression,"Assumption that the outcome is not Normal-distributed but follows either a Laplace or student-t distribution. Both have heavier tails, which makes the optimization procedure less vulnerable to 'outliers'."

One Standard Error Rule,"Heuristic for model selection.
Given an evaluation (mean, std error) of different models with different numbers of parameters with respect to a metric, choose the simplest model whose mean is still within 1 standard error of the best-performing model."

Huber Loss,"\( \mathcal{L}_{\delta}(a) =
\begin{cases} + \frac{1}{2} a^2 & \text{ if }\ |a| < \delta \\ \delta(|a| - \frac{1}{2}\delta) & \text{ otherwise} \end{cases}\)"

Limitations of PCA,"
1. Cannot deal with categorical data
2. Strictly a linear transformation
3. De-meaning and scaling are necessary
"

Recall at k,"\( \frac{\text{#relevant items among } k \text{ retrieved items}}{\text{#relevant items}} \)"
Precision at k,"\( \frac{\text{#relevant items among } k \text{ retrieved items}}{k} \)"

DCG,"Discounted Cumulative Gain
Cumulative Gain is invariant to ordering of retrieved documents:
\(CG_p := \sum_{i=1}^p rel_i\)
Discounted Cumulative Gain, on the other hand, is sensitive to the order. Two variants exist:
\(DCG_p := \sum_{i=1}^p \frac{rel_i}{log_2(i+1)} \)
\(DCG_p := \sum_{i=1}^p \frac{2^{rel_i} - 1}{log_2(i+1)} \)
In principle, other functions that the logarithm could be used for discounting. Yet, the logarithm
has some desirable theoretical guarantees.
"

NDCG,"Normalized Discounted Cumulative Gain

\(NDCG_p := \frac{DCG_P}{IDCG_p} \)

Where \(IDCG_p\) corresponds to the Ideal Discounted Cumulative Gain:

\(IDCG_p := \sum_{i=1}^{|REL_p|} \frac{2^{rel_i} - 1}{log_2(i+1)} \)

and \(REL_p\) is the sequence of most relevant documents among p documents, ordered by relevance.
"

Inductive bias,"The set of assumptions that a learning algorithm uses to generalize from its training data to new, unseen data."

Trick used for eigenface values,"There are few \(n\) images of width \(W\) and height \(H\).

The images are flattened to \(d = W \cdot H\) such that \(X \in \mathbb{R}^{n \cdot d}\) and centered such that
each column of \(X\) has mean 0.

Usually, we would do EVD on \(X^T X\). Yet, this would be very expensive since \(d\) is large.

Therefore EVD is done on \(X X^T\). This works, because:
\(
X^TX = U \Lambda U^T
\Rightarrow X^TX u_j = \lambda_j u_j
\Rightarrow X X^TX u_j = \lambda_j X u_j
\Rightarrow (X X^T) (X u_j) = \lambda_j (X u_j)
\)

In other words, the eigenvectors from one can easily be mapped to the other."
