#deck:"Probability & Statistics"
#noteypte:"basic-bf4b5"
Variance of random variable X,\(\mathbb{E}[(X-\mathbb{E}[x])^2]\)
Confidence interval vs Credible interval,"Credible interval: What's the probability that the underlying parameter stems from a given interval given the data?
Confidence interval: What's the probability that the data confirms the parameter?
Bayesian: parameter is random and data is fixed.
Frequentist: parameter is fixed data is random."

Bias-variance tradeoff,\(MSE = variance + bias^2\)

Sufficient statistic \(t = T(X)\) for \(\theta\),"1. \(t\) is sufficient for underlying parameter \(\theta\) precisely if the conditional probability distribution of the data \(X\), given the statistic \(t = T(X)\), does not depend on the parameter \(\theta\).
2. \(I(\theta; T(X)) = I(\theta, X)\) where \(I\) is the mutual information."

Consistent estimator,"Formally speaking, an estimator \(T_n\) of parameter \(\theta\) is said to be consistent, if it converges in probability to the true value of the parameter."

Bias of an estimator,"is the difference between this estimator's expected value and the true value of the parameter being estimated."

Example of a biased but consistent estimator,"Assume \(X_i \sim \mathcal{U}(0, \theta)\). We define our estimator for \(\theta\) as follows: \(\hat{\theta} = \max_i X_i\). Intuitively this is biased because it is always, in expectation, underestimating the true parameter. Formally, its expected value is \(\mathbb{E}[\hat{\theta}] = \frac{n}{n+1}\theta\)."

Example of an unbiased but inconsistent estimator,"Given a series of \(n\) numbers, we would like to estimate the true underlying mean.
We can define the estimator to be the most recently drawn number."

Example of a simple Bayesian but non-generative model,"Linear regression where the \(X_i\) are considered constants and the weights \(w\) are considered random variables."

Weak Law of Large Numbers,"Given an infinite series of Lebesque integrable i.i.d. variables \(X_1, X_2, \dots\) for which it holds that \(\mathbb[E][X_i] = \mu\).
We define the sample average as \(\bar{X}_n = \frac{1}{n}\sum_i X_i\).
Then we know that the sample average converges in probability towards the expected value, i.e. \(\forall \epsilon > 0\):
\(\lim_{n \rightarrow \infty} \Pr(|\bar{X}_n - \mu| < \epsilon) = 1\)"

Strong Law of Large Numbers,"A.k.a. Kolmogorov's law. Given an infinite series of Lebesque integrable i.i.d. variables \(X_1, X_2, \dots\) for which it holds that \(\mathbb[E][X_i] = \mu\).
We define the sample average as \(\bar{X}_n = \frac{1}{n}\sum_i X_i\).
Then we know that the sample average converges almost surely to the expected value, i.e.:
\(\Pr(\lim_{n \rightarrow \infty} \bar{X}_n = \mu) = 1\)"

Classic Central Limit Theorem,"Assume \(X_1, \dots, X_n\) are a sequence of i.i.d random variables such that \(\mathbb{E}[X_i] = \mu\) and \(Var[X_i] = \sigma^2\).
The LLN tells us that the sample mean converges almost surely to \(\mu\). The CCLT tells us that as \(n\) grows, the distribution of the difference between the sample average \(\hat{X}_n\)
and \(\mu\) multiplied by \(\sqrt{n}\) approximates a normal distribution with mean 0 and variance \(\sigma^2\), i.e.:
\(\sqrt{n} (\hat{X}_n - \mu) \rightarrow \mathcal{N}(0, \sigma^2)\)"

Skewness,"Skewness is a measure of the asymmetry of the probability distribution of a real-valued random variable around its mean. For a unimodal distribution,
negative skew commonly indicates that the tail is on the left side of the distribution, and positive skew indicates that the tail is on the right.
Skewness is the third standardized moment of a distribution.
\(\gamma_1 = \tilde{\mu}_3 = \mathbb{E}[(\frac{X - \mu}{\sigma})^3] \)
"
